code,name,market
141A,トライアルホールディングス,グロース
1515,日鉄鉱業,プライム
1605,ＩＮＰＥＸ,プライム
1662,石油資源開発,プライム
1721,コムシスホールディングス,プライム
1801,大成建設,プライム
1802,大林組,プライム
1803,清水建設,プライム
1808,長谷工コーポレーション,プライム
1812,鹿島建設,プライム
186A,アストロスケールホールディングス,グロース
1878,大東建託,プライム
1893,五洋建設,プライム
1911,住友林業,プライム
1925,大和ハウス工業,プライム
1928,積水ハウス,プライム
1942,関電工,プライム
1944,きんでん,プライム
1963,日揮ホールディングス,プライム
1969,高砂熱学工業,プライム
215A,タイミー,グロース
2160,ジーエヌアイグループ,グロース
2267,ヤクルト本社,プライム
2269,明治ホールディングス,プライム
2282,日本ハム,プライム
2371,カカクコム,プライム
2413,エムスリー,プライム
2432,ディー・エヌ・エー,プライム
2501,サッポロホールディングス,プライム
2502,アサヒグループホールディングス,プライム
2503,キリンホールディングス,プライム
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム
2587,サントリービバレッジ＆フード,プライム
268A,リガク・ホールディングス,プライム
2702,日本マクドナルドホールディングス,スタンダード
2768,双日,プライム
2778,パレモ・ホールディングス,スタンダード
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース
2801,キッコーマン,プライム
2802,味の素,プライム
2811,カゴメ,プライム
285A,キオクシアホールディングス,プライム
2871,ニチレイ,プライム
2875,東洋水産,プライム
2897,日清食品ホールディングス,プライム
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース
2914,日本たばこ産業,プライム
2962,テクニスコ,スタンダード
3003,ヒューリック,プライム
3038,神戸物産,プライム
3064,ＭｏｎｏｔａＲＯ,プライム
3086,Ｊ．フロント　リテイリング,プライム
3088,マツキヨココカラ＆カンパニー,プライム
3092,ＺＯＺＯ,プライム
3099,三越伊勢丹ホールディングス,プライム
3103,ユニチカ,スタンダード
3110,日東紡績,プライム
3197,すかいらーくホールディングス,プライム
3231,野村不動産ホールディングス,プライム
3288,オープンハウスグループ,プライム
3289,東急不動産ホールディングス,プライム
